area_name,"less_hs_1970","hs_1970","some_college_1970","college_higher_1970","less_hs_1980","hs_1980","some_college_1980","college_higher_1980","less_hs_1990","hs_1990","some_college_1990","college_higher_1990","less_hs_2000","hs_2000","some_college_2000","college_higher_2000","less_hs_2006_2010","hs_2006_2010","some_college_2006_2010","college_higher_2006_2010","less_hs_2007_2011","hs_2007_2011","some_college_2007_2011","college_higher_2007_2011","less_hs_2008_2012","hs_2008_2012","some_college_2008_2012","college_higher_2008_2012"
New Hampshire,42.4,34.4,12.3,10.9,27.7,37.2,16.9,18.2,17.8,31.7,26.1,24.4,12.6,30.1,28.7,28.7,9.1,29.7,28.3,32.9,8.8,29.5,28.6,33.1,8.6,29.3,28.7,33.4
New Jersey,47.5,31.8,8.8,11.8,32.6,35.9,13.2,18.3,23.3,31.1,20.7,24.9,17.9,29.4,22.9,29.8,12.7,29.8,22.9,34.6,12.4,29.6,23.1,35.0,12.1,29.2,23.3,35.4
New Mexico,44.8,30.0,12.5,12.7,31.1,34.1,17.1,17.6,24.9,28.7,25.9,20.4,21.1,26.6,28.8,23.5,17.3,27.0,30.3,25.5,16.9,26.7,30.9,25.4,16.6,26.4,31.4,25.6
New York,47.3,31.2,9.6,11.9,33.7,34.1,14.3,17.9,25.2,29.5,22.2,23.1,20.9,27.8,23.9,27.4,15.6,28.2,24.1,32.1,15.4,27.8,24.4,32.5,15.1,27.3,24.8,32.8
North Carolina,61.5,21.7,8.4,8.5,45.2,27.8,13.8,13.2,30.0,29.0,23.6,17.4,21.9,28.4,27.2,22.5,16.4,28.2,29.2,26.1,15.9,27.7,29.9,26.5,15.5,27.2,30.4,26.8
North Dakota,49.7,27.6,14.3,8.4,33.6,31.3,20.3,14.8,23.3,28.0,30.6,18.1,16.1,27.9,34.0,22.0,10.6,28.1,35.0,26.3,10.0,27.4,36.0,26.5,9.5,27.2,36.2,27.1
Ohio,46.8,35.3,8.7,9.3,33.0,40.5,12.8,13.7,24.3,36.3,22.4,17.0,17.0,36.1,25.8,21.1,12.6,35.8,27.4,24.1,12.2,35.4,28.0,24.5,11.8,34.9,28.5,24.7
Oklahoma,48.4,30.0,11.6,10.0,34.0,34.8,16.1,15.1,25.4,30.5,26.3,17.8,19.4,31.5,28.8,20.3,14.6,32.6,30.2,22.6,14.1,32.1,30.7,23.0,13.8,31.7,31.2,23.2
Oregon,40.0,35.0,13.3,11.8,24.4,37.1,20.7,17.9,18.5,28.9,32.0,20.6,14.9,26.3,33.8,25.1,11.4,25.6,34.3,28.6,11.1,25.2,34.7,29.0,10.8,24.8,35.1,29.2
Pennsylvania,49.8,34.5,7.0,8.7,35.3,40.4,10.7,13.6,25.3,38.6,18.2,17.9,18.1,38.1,21.4,22.4,12.6,37.8,23.2,26.4,12.1,37.6,23.7,26.7,11.7,37.2,24.0,27.0
Rhode Island,53.6,29.0,8.0,9.4,38.9,32.8,12.9,15.4,28.0,29.5,21.3,21.3,22.0,27.8,24.6,25.6,16.3,28.2,25.1,30.3,15.7,27.7,26.0,30.6,15.2,27.5,26.5,30.8
South Carolina,62.2,20.6,8.3,9.0,46.3,27.1,13.2,13.4,31.7,29.5,22.2,16.6,23.7,30.0,25.9,20.4,17.0,31.2,27.8,24.0,16.4,30.9,28.5,24.2,16.0,30.3,29.2,24.6
South Dakota,46.7,31.2,13.6,8.6,32.1,36.3,17.7,14.0,22.9,33.7,26.2,17.2,15.4,32.9,30.2,21.5,10.7,32.7,31.2,25.3,10.2,32.1,31.8,25.8,9.9,31.9,32.2,26.0
Tennessee,58.2,25.7,8.2,7.9,43.8,31.7,11.9,12.6,32.9,30.0,21.1,16.0,24.1,31.6,24.8,19.6,17.5,33.4,26.4,22.7,16.8,33.3,26.9,23.0,16.1,33.0,27.4,23.5
Texas,52.6,25.1,11.4,10.9,37.4,28.8,17.0,16.9,27.9,25.6,26.2,20.3,24.3,24.8,27.6,23.2,20.0,26.0,28.3,25.8,19.6,25.7,28.7,26.1,19.2,25.3,29.2,26.3
Utah,32.7,35.9,17.4,14.0,20.0,36.0,24.2,19.9,14.9,27.2,35.7,22.3,12.3,24.6,37.0,26.1,9.4,24.8,36.3,29.4,9.4,24.4,36.5,29.6,9.4,23.9,36.9,29.9
Vermont,42.9,33.0,12.6,11.5,29.0,36.4,15.6,19.0,19.2,34.6,21.9,24.3,13.6,32.4,24.6,29.4,9.4,32.0,25.2,33.3,9.0,31.7,25.5,33.8,8.7,31.2,25.8,34.2
Virginia,52.2,25.2,10.3,12.3,37.6,28.4,14.9,19.1,24.8,26.6,24.0,24.5,18.5,26.0,26.0,29.5,13.9,26.0,26.3,33.8,13.4,25.6,26.6,34.4,13.1,25.2,27.0,34.7
Washington,36.5,36.2,14.5,12.7,22.4,37.4,21.3,19.0,16.2,27.9,33.0,22.9,12.9,24.9,34.4,27.7,10.4,24.3,34.3,31.0,10.2,23.9,34.5,31.4,10.0,23.6,34.8,31.6
West Virginia,58.4,27.6,7.3,6.8,44.0,35.6,10.0,10.4,34.0,36.6,17.0,12.3,24.8,39.4,21.0,14.8,18.1,41.3,23.4,17.3,17.4,41.0,24.0,17.6,16.6,40.9,24.6,17.9
Wisconsin,45.5,34.8,9.9,9.8,30.4,40.4,14.4,14.8,21.4,37.1,23.8,17.7,14.9,34.6,28.1,22.4,10.6,34.0,29.6,25.8,10.2,33.6,30.1,26.0,9.8,33.1,30.6,26.4
Wyoming,37.1,36.2,14.8,11.8,22.1,40.0,20.8,17.2,17.0,33.2,31.1,18.8,12.1,31.0,35.0,21.9,8.7,31.3,36.5,23.6,8.1,30.5,37.2,24.2,7.9,30.5,37.3,24.3
Puerto Rico,,,,,60.5,21.1,9.1,9.4,50.3,21.0,14.4,14.3,40.0,22.3,19.4,18.3,32.4,25.2,20.9,21.4,31.4,25.5,21.1,22.0,30.3,25.7,21.5,22.5
